Année,Transmission,Type de carburant,Type,Secteur,Kilométrage,Marque,Modèle,Nombre de portes,Origine,Première main,Puissance fiscale,État,Prix
2016,Manuelle,Diesel,"Voitures d'occasion, à vendre",Maarif,130 000 - 139 999,Volkswagen,Tiguan,5.0,WW au Maroc,Oui,8 CV,Correct,180 000 DH
2023,Automatique,Essence,"Voitures d'occasion, à vendre",2 Mars,40 000 - 44 999,Cupra,Formentor,5.0,WW au Maroc,Oui,11 CV,Excellent,PRIX NON SPÉCIFIÉ
2021,Automatique,Hybride,"Voitures d'occasion, à vendre",2 Mars,70 000 - 74 999,Porsche,Cayenne,5.0,Importée neuve,Oui,17 CV,Excellent,PRIX NON SPÉCIFIÉ
2022,Automatique,Hybride,"Voitures d'occasion, à vendre",Agdal,60 000 - 64 999,Mercedes-Benz,Classe E,5.0,Importée neuve,Oui,8 CV,Excellent,PRIX NON SPÉCIFIÉ
2018,Manuelle,Diesel,"Voitures d'occasion, à vendre",2 Mars,100 000 - 109 999,Citroen,C3,5.0,WW au Maroc,Non,6 CV,Très bon,109 000 DH
2025,Automatique,Essence,"Voitures d'occasion, à vendre",2 Mars,5 000 - 9 999,Hyundai,i10,5.0,WW au Maroc,Oui,6 CV,Excellent,PRIX NON SPÉCIFIÉ
2022,Automatique,Diesel,"Voitures d'occasion, à vendre",Bourgogne,95 000 - 99 999,Dacia,Duster,5.0,WW au Maroc,Oui,6 CV,Excellent,PRIX NON SPÉCIFIÉ
2020,Automatique,Diesel,"Voitures d'occasion, à vendre",Ain Sebaa,130 000 - 139 999,Mercedes-Benz,Classe CLA,5.0,Dédouanée,Non,8 CV,Bon,430 000 DH
2014,Automatique,Diesel,"Voitures d'occasion, à vendre",2 Mars,140 000 - 149 999,Mercedes-Benz,Classe E,5.0,Importée neuve,Oui,8 CV,Excellent,190 000 DH
2012,Automatique,Diesel,"Voitures d'occasion, à vendre",Targa,190 000 - 199 999,Volkswagen,Touareg,5.0,WW au Maroc,Oui,12 CV,Excellent,PRIX NON SPÉCIFIÉ
2022,Automatique,Diesel,"Voitures d'occasion, à vendre",Belvédère,70 000 - 74 999,Renault,Megane,5.0,WW au Maroc,Oui,6 CV,Excellent,PRIX NON SPÉCIFIÉ
2019,Automatique,Diesel,"Voitures d'occasion, à vendre",Autre secteur,100 000 - 109 999,Land Rover,Range Rover Sport,5.0,Importée neuve,Non,12 CV,Très bon,670 000 DH
2020,Automatique,Diesel,"Voitures d'occasion, à vendre",Hay Dakhla,85 000 - 89 999,BMW,Série 3,5.0,WW au Maroc,Non,8 CV,Excellent,300 000 DH
2018,Automatique,Diesel,"Voitures d'occasion, à vendre",2 Mars,130 000 - 139 999,Skoda,Kodiaq,5.0,WW au Maroc,Oui,8 CV,Très bon,PRIX NON SPÉCIFIÉ
